Date,CountyName,Location,EventType,Deaths,PropertyDamage,CropDamage
2010-01-04,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2010-01-24,MAGOFFIN CO.,SUBLETT,Flood,0,0.0,0.0
2010-01-29,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2010-01-29,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2010-01-29,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2010-02-05,MAGOFFIN CO.,SALYERSVILLE,Flash Flood,0,0.0,0.0
2010-02-09,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2010-02-15,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2010-02-15,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2010-02-15,MAGOFFIN (ZONE), ,Winter Weather,0,10000.0,0.0
2010-04-10,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-04-18,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-04-19,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-04-28,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-04-29,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-05-03,MAGOFFIN CO.,GIFFORD,Flash Flood,0,0.0,0.0
2010-05-10,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-06-15,MAGOFFIN CO.,WHEELERSBURG,Thunderstorm Wind,0,5000.0,0.0
2010-06-27,MAGOFFIN CO.,FRITZ,Thunderstorm Wind,0,5000.0,0.0
2010-08-04,MAGOFFIN (ZONE), ,Excessive Heat,0,0.0,0.0
2010-08-11,MAGOFFIN (ZONE), ,Heat,0,0.0,0.0
2010-10-22,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-10-23,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-10-30,MAGOFFIN (ZONE), ,Frost/Freeze,0,0.0,0.0
2010-11-15,MAGOFFIN (ZONE), ,Dense Fog,0,0.0,0.0
2010-12-15,MAGOFFIN (ZONE), ,Winter Storm,0,0.0,0.0
2010-12-15,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2011-01-20,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2011-01-20,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2011-02-09,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2011-02-28,MAGOFFIN CO.,WONNIE,Thunderstorm Wind,0,0.0,0.0
2011-02-28,MAGOFFIN CO.,KERNIE,Thunderstorm Wind,0,10000.0,0.0
2011-02-28,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,16000.0,0.0
2011-02-28,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,5000.0,0.0
2011-04-04,MAGOFFIN CO.,FLAT FORK,Thunderstorm Wind,0,0.0,0.0
2011-04-04,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,8000.0,0.0
2011-04-04,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,2000.0,0.0
2011-04-08,MAGOFFIN CO.,HENDRICKS,Hail,0,0.0,0.0
2011-04-08,MAGOFFIN CO.,ROYALTON,Hail,0,0.0,0.0
2011-04-09,MAGOFFIN CO.,NETTY,Thunderstorm Wind,0,6000.0,0.0
2011-04-09,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,0.0,0.0
2011-04-09,MAGOFFIN CO.,LEATHA,Thunderstorm Wind,0,0.0,0.0
2011-04-09,MAGOFFIN CO.,CYRUS,Thunderstorm Wind,0,0.0,0.0
2011-05-22,MAGOFFIN CO.,FORAKER,Hail,0,0.0,0.0
2011-06-21,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,1000.0,0.0
2011-07-11,MAGOFFIN CO.,FALCON,Thunderstorm Wind,0,1000.0,0.0
2011-07-11,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,2000.0,0.0
2011-07-11,MAGOFFIN CO.,SALYERSVILLE,Thunderstorm Wind,0,1000.0,0.0
2011-07-19,MAGOFFIN CO.,SALYERSVILLE,Heavy Rain,0,0.0,0.0
2012-02-19,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2012-02-19,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2012-03-02,MAGOFFIN CO.,NETTY,Hail,0,0.0,0.0
2012-03-02,MAGOFFIN CO.,CUTUNO,Tornado,0,25000000.0,0.0
2012-03-05,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2012-03-05,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2012-03-05,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2012-04-30,MAGOFFIN CO.,LICKSBURG,Thunderstorm Wind,0,0.0,0.0
2012-05-01,MAGOFFIN CO.,SALYERSVILLE,Hail,0,0.0,0.0
2012-05-01,MAGOFFIN CO.,ROYALTON,Hail,0,0.0,0.0
2012-07-01,MAGOFFIN CO.,FALCON,Thunderstorm Wind,0,0.0,0.0
2012-07-24,MAGOFFIN CO.,HENDRICKS,Thunderstorm Wind,0,0.0,0.0
2012-09-17,MAGOFFIN CO.,SALYERSVILLE,Heavy Rain,0,0.0,0.0
2012-12-21,MAGOFFIN (ZONE), ,Heavy Snow,0,0.0,0.0
2012-12-21,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2012-12-21,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2013-02-02,MAGOFFIN (ZONE), ,Winter Weather,0,0.0,0.0
2013-05-19,MAGOFFIN CO.,MASHFORK,Heavy Rain,0,0.0,0.0
2013-05-21,MAGOFFIN CO.,FORAKER,Thunderstorm Wind,0,0.0,0.0
2013-06-09,MAGOFFIN CO.,CYRUS,Thunderstorm Wind,0,10000.0,2000.0
2013-06-09,MAGOFFIN CO.,WHEELERSBURG,Hail,0,0.0,0.0
2013-08-10,MAGOFFIN CO.,SALYERSVILLE,Flood,0,0.0,1000.0
2013-08-10,MAGOFFIN CO.,SALYERSVILLE,Flash Flood,0,1000.0,0.0
2013-08-10,MAGOFFIN CO.,SALYERSVILLE,Flash Flood,0,0.0,0.0
2013-08-10,MAGOFFIN CO.,LICKSBURG,Flash Flood,0,0.0,0.0
