EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
206483,MAGOFFIN (ZONE), ,01/04/2010,2300,Winter Weather, , ,0,0,0,0,KY,EST-5, ,35674,Z,109,JKL,0,0,Department of Highways, , , , , , , , ,01/05/2010,1600, , , , ,"The state highway garage reported 1 to 2 inches of new snowfall around the county.","Moist northwest flow off Lake Michigan combined with terrain effects brought yet another round of light snow to eastern Kentucky on January 5th. The highest snowfall amount recorded occurred in Letcher county. Two to three inches of snow fell in a 24 hour period, with isolated accumulations of 4-5 inches across the higher terrain. All in all 1-3 inches of snow fell in the affected counties from late in the day on January 4th through late in the morning on the 5th.",1
210899,MAGOFFIN CO.,SUBLETT,01/24/2010,1300,Flood, , ,0,0,0,0,KY,EST-5, ,36397,C,153,JKL,0,0,Trained Spotter,Heavy Rain, , ,2,W,1,NNW,CARVER,01/25/2010,1025,37.6838,-83.0573,37.661,-83.0563,"Oakley Creek was out of its banks and was flooding a portion of Highway 1635 near Royalton, rendering the road impassable.","A potent and slow moving area of low pressure dumped heavy rainfall on portions of eastern Kentucky on January 24th and 25th. The result for quite a few locations east of I-75 was flooded and washed out roads. Numerous roads in the affected counties had to be closed for varying periods of time due to flood water or damaged caused to the roads by the flood water.",2
209280,MAGOFFIN (ZONE), ,01/29/2010,2030,Heavy Snow, , ,0,0,0,0,KY,EST-5, ,36094,Z,109,JKL,0,0,Department of Highways, , , , , , , , ,01/30/2010,1800, , , , ,"The Highway Dept estimated that 5 to 7 inches of snow fell countywide.","A powerful area of low pressure moved across the Tennessee valley and then through the mid Atlantic region on January 29th and 30th. The snow first began falling across eastern Kentucky during the late afternoon and evening hours of January 29th as the storm moved across central Tennessee. The snow finally came to an end late in the day on January 30th as the area of low pressure moved up the east coast. Snowfall amounts of 4-8 inches were quite common around the area, with accumulations as high as 11 inches reported on Black Mountain.",3
209167,MAGOFFIN (ZONE), ,01/29/2010,2030,Heavy Snow, , ,0,0,0,0,KY,EST-5, ,36094,Z,109,JKL,0,0,Law Enforcement, , , , , , , , ,01/30/2010,1800, , , , ,"The Salyersville 911 dispatch reported 4 inches of snow on the ground and still coming down. Meanwhile, the Magoffin county Highway Dept reported 4 to 6 inches county wide.","A powerful area of low pressure moved across the Tennessee valley and then through the mid Atlantic region on January 29th and 30th. The snow first began falling across eastern Kentucky during the late afternoon and evening hours of January 29th as the storm moved across central Tennessee. The snow finally came to an end late in the day on January 30th as the area of low pressure moved up the east coast. Snowfall amounts of 4-8 inches were quite common around the area, with accumulations as high as 11 inches reported on Black Mountain.",4
209309,MAGOFFIN (ZONE), ,01/29/2010,2030,Heavy Snow, , ,0,0,0,0,KY,EST-5, ,36094,Z,109,JKL,0,0,Trained Spotter, , , , , , , , ,01/30/2010,1800, , , , ,"A trained spotter measured 5.5 inches of snow 9 miles north of Salyersville. Snow depths ranged from 4 to 7 inches.","A powerful area of low pressure moved across the Tennessee valley and then through the mid Atlantic region on January 29th and 30th. The snow first began falling across eastern Kentucky during the late afternoon and evening hours of January 29th as the storm moved across central Tennessee. The snow finally came to an end late in the day on January 30th as the area of low pressure moved up the east coast. Snowfall amounts of 4-8 inches were quite common around the area, with accumulations as high as 11 inches reported on Black Mountain.",5
217527,MAGOFFIN CO.,SALYERSVILLE,02/05/2010,2100,Flash Flood, , ,0,0,0,0,KY,EST-5, ,36457,C,153,JKL,0,0,County Official,Heavy Rain, , ,0,N,0,NE,SALYERSVILLE,02/05/2010,2200,37.75,-83.07,37.7509,-83.0689,"There was 2 to 3 inches of water flowing over the roads on state route 30 and state route 40.","The same storm system that brought wintry weather to portions of eastern KY on February 6th, also led to flooding problems in Powell and Magoffin counties between the late evening hours of February 5th and the late night hours of February 7th.",6
211280,MAGOFFIN (ZONE), ,02/09/2010,2000,Heavy Snow, , ,0,0,0,0,KY,EST-5, ,36458,Z,109,JKL,0,0,Department of Highways, , , , , , , , ,02/10/2010,2200, , , , ,"Five inches of snow had fallen across most of the county.","A powerful and complex storm system brought rain, accumulating snow, and some mixed precipitation to eastern Kentucky from February 8-10th. Several transitions between liquid and wintry precip took place before the precip changed over to all snow by late in the day on February 9th. The highest snowfall totals occurred in the higher terrain along the Virginia and West Virginia borders.",7
214247,MAGOFFIN (ZONE), ,02/15/2010,600,Heavy Snow, , ,0,0,0,0,KY,EST-5, ,36846,Z,109,JKL,0,0,Amateur Radio, , , , , , , , ,02/16/2010,441, , , , ,"Four inches of new snow had fallen since 6 am 6 miles north of Salyersville.","A potent area of low pressure moved across the Bluegrass state on February 15th and 16th. The result was widespread accumulating snowfall across the whole of eastern Kentucky. The highest snowfall amounts ranged between 5 and 8 inches in Harlan, Lee, Rowan, Jackson, Morgan, Fleming, Montgomery, Wolfe, Menifee, Breathitt, and Elliott counties.",8
214228,MAGOFFIN (ZONE), ,02/15/2010,600,Winter Weather, , ,0,0,0,0,KY,EST-5, ,36846,Z,109,JKL,0,0,NWS Employee, , , , , , , , ,02/16/2010,441, , , , ,"Two to three inches of snow fell across the northern part of Magoffin county.","A potent area of low pressure moved across the Bluegrass state on February 15th and 16th. The result was widespread accumulating snowfall across the whole of eastern Kentucky. The highest snowfall amounts ranged between 5 and 8 inches in Harlan, Lee, Rowan, Jackson, Morgan, Fleming, Montgomery, Wolfe, Menifee, Breathitt, and Elliott counties.",9
214220,MAGOFFIN (ZONE), ,02/15/2010,600,Winter Weather, , ,0,3,10000,0,KY,EST-5, ,36846,Z,109,JKL,0,0,Emergency Manager, , , , , , , , ,02/16/2010,441, , , , ,"Two to three inches of snow fell throughout the county. Most roads were slick resulting in several accidents during the morning.","A potent area of low pressure moved across the Bluegrass state on February 15th and 16th. The result was widespread accumulating snowfall across the whole of eastern Kentucky. The highest snowfall amounts ranged between 5 and 8 inches in Harlan, Lee, Rowan, Jackson, Morgan, Fleming, Montgomery, Wolfe, Menifee, Breathitt, and Elliott counties.",10
